,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FOXD2,40.061397454000755,-0.8442568417399565,0.2268925508356423,-3.7209544281227815,0.00019847125526280826,0.14569274257863263
RAPGEF3,52.45582254817574,-1.0188213681293607,0.2798024520481678,-3.6412167251270957,0.000271352585578472,0.14569274257863263
PF4V1,96.70839209552398,-0.7094994858753819,0.19118604011154047,-3.7110423201476976,0.0002064075891390289,0.14569274257863263
LRRC2,40.23512624981838,-0.695170758322807,0.19058520115436187,-3.647558961095636,0.000264743571297803,0.14569274257863263
TNNC2,30.15014737745421,-0.5542383014554011,0.15099814932642017,-3.670497313561617,0.00024207901426283123,0.14569274257863263
RYR1,123.22467273352997,-0.8511879723900361,0.2403150802384762,-3.5419665363711728,0.00039715585450857127,0.14626300509062254
LSG1,982.7994860979337,0.15522472499752463,0.04489261848861016,3.45768926436998,0.0005448293978596354,0.14626300509062254
WDR11,2925.851592950733,0.17460965257257186,0.04858705809190007,3.593748200236905,0.00032595485415753766,0.14626300509062254
SKOR1,47.7007040574002,-0.8138010728685564,0.2342675211017074,-3.4738109194199573,0.0005131224851822049,0.14626300509062254
YPEL4,49.19754483546376,-0.4737698235766556,0.13277246322298988,-3.568283754598756,0.00035932724128799,0.14626300509062254
RPL36A,170.62010477518652,0.16919625371049768,0.04723997024063052,3.581633367858772,0.0003414527530737501,0.14626300509062254
DNAH17,67.3141048788246,-1.0374435071711388,0.2981291434642184,-3.4798459993417357,0.000501702078861547,0.14626300509062254
DLGAP3,52.45897457668041,-0.8366117698069996,0.24139786487233278,-3.4656966425509,0.0005288596271236034,0.14626300509062254
MAPK10,94.51668121788843,-0.9967966697004289,0.2823890831304152,-3.529869705480364,0.0004157643661082879,0.14626300509062254
LRP5,71.60811433063945,-0.6831886193202861,0.19470243641332,-3.508885825496263,0.0004499880325131594,0.14626300509062254
GLB1L3,45.49381471803511,-0.92442982073722,0.25674709463355483,-3.6005463744648125,0.00031754918234318095,0.14626300509062254
VSIG10,168.18145341993406,-0.4410644741348345,0.12165365499550632,-3.625575196660772,0.0002883189811929791,0.14626300509062254
TF,71.99684783530813,-0.9972440463480033,0.2816036514075153,-3.541303677575075,0.00039815503607715485,0.14626300509062254
TMEM179B,261.35533041848345,-0.17510247209128818,0.0495106678162428,-3.536661487604554,0.0004052186841735281,0.14626300509062254
ITGA7,52.72158690611537,-0.705827431674089,0.20236199284828324,-3.4879446566987937,0.0004867488190386972,0.14626300509062254
TSPO2,70.66348798539278,-0.5422827966939905,0.15373373719720734,-3.5274156901445664,0.0004196373790843444,0.14626300509062254
PCDH9,1232.668948576098,0.4925440268219834,0.14055183365809157,3.504358598551998,0.00045770856628340307,0.14626300509062254
ARMCX5,345.4924618360648,0.1705473487258551,0.04867608599841363,3.503719438974886,0.00045880846518667575,0.14626300509062254
ZNF121,1935.4920325539374,0.19080245664699358,0.05318401738488917,3.587590145102597,0.0003337483628383354,0.14626300509062254
DLGAP1,50.547500704331945,-0.8573537473280625,0.24772728493817353,-3.4608773415574157,0.0005384180722171582,0.14626300509062254
DLC1,49.36956258411638,-0.8135643789929983,0.23042385002909158,-3.5307299087758657,0.00041441468359682286,0.14626300509062254
EXOSC6,1219.6254683490909,0.15472849955998916,0.044302873159664795,3.492516140033566,0.0004784926781028704,0.14626300509062254
DNAH10,122.61287677066053,-0.8053087738383419,0.23113327201474765,-3.484175025164523,0.000493656549787443,0.14626300509062254
PLXNB1,52.7148392557811,-0.8014457640010727,0.23226282354511832,-3.4505985579968956,0.0005593448930328268,0.1469648954055825
ADGRB1,95.34692637483371,-0.7854273690509372,0.23063648029414965,-3.4054776072250896,0.000660484299810033,0.14971392769774722
AP3B2,53.79413034035794,-0.9739373913172702,0.2853091323711241,-3.41362151019545,0.0006410556506648471,0.14971392769774722
TRMT9B,46.429866323827085,-0.8802113077741224,0.26013660678552586,-3.3836503007046135,0.0007152904473372002,0.14971392769774722
TRIB3,106.68984121319875,-0.3350655897469957,0.09758487421386214,-3.43358120247901,0.0005956637535513983,0.14971392769774722
CLCN2,42.460780366566205,-0.6601259604833885,0.19507983193882797,-3.383875995394475,0.0007147027450040397,0.14971392769774722
BCAM,49.45200052113667,-0.7850941792003984,0.23049657031347223,-3.4060991802727516,0.0006589823487569502,0.14971392769774722
CTSE,72.62528734783962,-0.6009937851269137,0.1758856756022676,-3.416956969741801,0.0006332528787963773,0.14971392769774722
UBE2C,33.7968080155424,-0.37933303073219765,0.11100603515578342,-3.4172288939051834,0.0006326206665799958,0.14971392769774722
CERCAM,36.906453436042455,-0.8075341131824054,0.237376543472407,-3.4019120060035517,0.0006691617961810046,0.14971392769774722
PRDM8,353.1290659930156,-0.20656521863671537,0.060896368892755195,-3.3920777608349373,0.0006936475134097099,0.14971392769774722
