,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC37A3,1284.251130382591,-0.17103097490874777,0.03731250376917898,-4.583744258138566,4.567227944654197e-06,0.000531288800172353
KCNJ15,7688.272049117336,-0.2602258126929427,0.056912077777567786,-4.572418067567235,4.821277693934961e-06,0.0005549993728716172
FCGR2A,18931.717979995283,-0.18179350885667708,0.0399540409959086,-4.550065633543632,5.362918503913646e-06,0.0006109856947087598
CREB5,6794.760436849181,-0.22359756892560284,0.049174348235300244,-4.547036756962878,5.440649922172933e-06,0.000613516553978909
HIF1A,4618.531120906222,-0.13513251911750934,0.029749230851395875,-4.542386987835981,5.562081563004155e-06,0.0006146656335275892
TLE4,4814.896617274927,-0.10497334344460092,0.023102159790663192,-4.543875741307366,5.522922225704975e-06,0.0006146656335275892
MGAM,10220.975977730266,-0.2541132666286515,0.05598436958459494,-4.539003806136903,5.65206159824295e-06,0.0006184250764572558
SLC2A3,9806.733485786423,-0.19163648474948475,0.042256998211336265,-4.535023614102208,5.759704092495777e-06,0.0006240244110408905
RUBCNL,2480.423316909569,-0.215982820019228,0.047666349627135875,-4.531138249702923,5.866672861119717e-06,0.000629442735808097
SERINC3,4297.886944375399,-0.08845538296322279,0.01957290413172363,-4.5192773830560435,6.205105456772694e-06,0.0006593521192576447
CACUL1,6407.682234955906,-0.11510033710709919,0.025544957638606376,-4.505794792673556,6.612496752463841e-06,0.0006904476829500298
TBL2,559.9303480192089,0.0717894490507317,0.01593385151833173,4.505467430027116,6.6226997007242025e-06,0.0006904476829500298
FCAR,1108.5988741933893,-0.22691895043461557,0.05039634437489162,-4.5026867176435665,6.709975867648477e-06,0.0006930088160129283
PHF21A,4095.526767200267,-0.14178244620228297,0.03150985907915268,-4.4996217166863826,6.807449312719257e-06,0.0006965659477301899
KIF1B,2653.5513821474196,-0.18408549069608232,0.04094203979054388,-4.496246196766174,6.916364857009557e-06,0.0007012178718790149
PLAUR,1476.2674690308957,-0.18403896227563074,0.04109721222271618,-4.478137380177445,7.52971409417463e-06,0.0007347610982783246
REPS2,3152.8454529923056,-0.20971132389304611,0.04683632394429241,-4.477535942882256,7.550951751871824e-06,0.0007347610982783246
NRBF2,1382.513767744556,-0.17380911555087286,0.038804308717531065,-4.479118976608624,7.495175071771593e-06,0.0007347610982783246
SBNO1,3570.2237529757717,-0.07734609587586053,0.01724873982498695,-4.484159229059451,7.320198681314788e-06,0.0007347610982783246
SPAG9,9560.965455808324,-0.12294876824237962,0.02746399437987602,-4.476725655481096,7.579654800807982e-06,0.0007347610982783246
NPEPPS,3786.164746197618,-0.10826564561707858,0.024200777887164616,-4.473643207745794,7.689801476200962e-06,0.0007356885097788144
USP12,3179.9030826063527,0.23337487191555126,0.05217716059676086,4.472739973704876,7.722366042380099e-06,0.0007356885097788144
NEDD9,5838.860036992763,-0.15927525488475872,0.03563808872344411,-4.469242335658178,7.84971561292445e-06,0.0007414291216959666
HECW2,548.5914149603807,-0.2312690658148253,0.051793672975030354,-4.465199174546275,7.999429839212068e-06,0.0007491669419756997
MME,15449.866203941494,-0.23818357076444074,0.05344811306619256,-4.456351349007653,8.33663603732388e-06,0.0007626410991606261
NBR1,5130.605936516283,-0.09317867517929883,0.0208970591897202,-4.458937228121353,8.236703663637829e-06,0.0007626410991606261
SENP2,1365.6509827195232,-0.06401346242414863,0.014365681075280903,-4.455999133538953,8.350336892447358e-06,0.0007626410991606261
HSD17B8,72.25093804866769,0.1386571440631736,0.03114419443048234,4.452102441521592,8.503357852767131e-06,0.0007702508822207342
MAPK14,11919.308116531467,-0.15315277612906333,0.03446373142016299,-4.443882592453741,8.834982987818429e-06,0.0007816530440398037
ATP6V1B2,15620.14191842791,-0.13967171305013099,0.031438294475154706,-4.44272551618574,8.882645308175365e-06,0.0007816530440398037
PPM1D,815.5002548660522,-0.08412871158247413,0.01893932574841161,-4.442011964947051,8.912160306670462e-06,0.0007816530440398037
CDKL5,921.1937996943398,-0.1363891684175946,0.030668603727998518,-4.447191976108121,8.700008084561486e-06,0.0007816530440398037
TMEM14C,422.0708053207806,0.16365432882234504,0.036888207423253244,4.436494485746741,9.143567621129365e-06,0.0007894184826648486
IRF2,2788.2900001571684,-0.11983360872789645,0.027010208301702757,-4.4366043900647,9.138902617423129e-06,0.0007894184826648486
PSMG3,275.7367810941758,0.10590401455065661,0.023880623388328432,4.434725711658634,9.218958769074292e-06,0.0007897574678840311
TOR1B,1177.547714173325,-0.1742293709079516,0.03931718026075692,-4.431380118117286,9.363186418520679e-06,0.0007959428700851694
MANSC1,563.2294839649752,-0.21941944764882704,0.049562571407631775,-4.427119929758936,9.549964049908538e-06,0.0007995200963298428
MEGF9,10864.111871791016,-0.17225060739553977,0.03890801373973951,-4.427124153593274,9.549777115509912e-06,0.0007995200963298428
AHCTF1,7768.631821117098,-0.12634315634244506,0.028569560135135872,-4.422299669467565,9.76558817163209e-06,0.0008114249239451595
IL6R,11122.353279865865,-0.1638451591598546,0.03709238503876341,-4.417218223865308,9.997927833558418e-06,0.0008245306006615977
SIPA1L2,1952.6517468252775,-0.23176666711634056,0.05253958651128127,-4.411276953361172,1.0276277608650985e-05,0.0008412084729866818
C3orf62,1202.7906327168173,-0.15243861656507046,0.034594587568616574,-4.406429655006476,1.0508841511173793e-05,0.0008507543174636315
CEP19,830.4847496550103,-0.19271585708375222,0.04374291823835215,-4.405647013161234,1.0546859242830289e-05,0.0008507543174636315
PYGL,8204.844455837358,-0.1935946790614158,0.043987133273783945,-4.40116608319181,1.0767066808893928e-05,0.0008622235891672955
BAZ1A,6621.35303271085,-0.14433949145649785,0.03286972532445645,-4.391259434988441,1.1269597593944127e-05,0.0008959735468393996
LINC02218,327.013914099166,-0.22340043303826485,0.05090169470270465,-4.388860416987148,1.139461712802866e-05,0.0008994422420131765
CDK19,2437.531101905724,-0.12831543469482304,0.02930393464261447,-4.378778353819549,1.1934643557373546e-05,0.0009353882691669152
NIN,15920.861118684017,-0.0989985230566215,0.02262702787771749,-4.375233176519515,1.2130273955080488e-05,0.000944025756884468
ZNF438,1021.8736988210459,-0.1680743571464434,0.03843948968918846,-4.3724398660192465,1.2286566508578648e-05,0.0009495024229811374
MX2,6481.380292573278,-0.22033055735572218,0.0505622479112718,-4.357610004649419,1.3149041451154748e-05,0.0010021383246669733
MCL1,59363.61414690754,-0.12838361694262465,0.029456559725010174,-4.358404991660319,1.3101377493899386e-05,0.0010021383246669733
UBR2,14634.3422563126,-0.11855961013889899,0.027237151373865426,-4.35286379663988,1.3437063727404273e-05,0.0010101564030717321
MAP4K4,6815.342405596397,-0.1273009735581023,0.029238065815617522,-4.353946473781602,1.3370836692931348e-05,0.0010101564030717321
SLC22A15,2410.7048842768636,-0.1633237691888425,0.03754685808979413,-4.349865141798287,1.3622128031548861e-05,0.0010144764088626185
